TICKER,MID_PRICE,MID_YIELD,DURATION_MID,CONVEXITY_MID,BID_ASK_SPREAD,AVG_DAILY_TRADE_COUNT_60,SPREAD_ROLLING_STD,VOLUME_ROLLING_STD,YIELD_SPREAD,MARKET_REGIME,vol_regime,liquidity_score,VOLUME_ROLLING_STD_LOG,MID_YIELD_WINS,MID_YIELD_CAPPED
BXP,93.35855640508244,5.677862464684949,4.475082805625234,0.2917887942736456,0.18973973173740177,13.38293901743924,0.10757754441026478,186.0367907833546,-0.0004294158501260657,Low Volatility,medium,3.859544280907678,1.860367907833546,0.0567786246468495,0.0567786246468495
CBG,101.2191289539447,5.287099687821672,4.394248129687729,0.3185694601047004,0.15509625498007973,11.172856998673227,0.11781767644184866,104.38628850957348,-0.00030230706191867356,Low Volatility,medium,3.222172369943279,1.0438628850957348,0.05287099687821672,0.05287099687821672
COLD,97.53325867807965,5.742471065901768,7.366868374720354,0.6733899646373451,0.30534300884955734,6.310510434994691,0.008649370595670967,18.003891682416576,-0.0004193961040176492,Normal,medium,1.8199062573067246,0.18003891682416576,0.05742471065901768,0.05742471065901768
COUSIPR,99.58394465277777,5.447307795777777,5.875124431666666,0.4125855205777778,0.19923333333333595,26.055555555555557,0.0834524417037382,156.18465469582463,-0.00034078484666662224,Low Volatility,low,7.514236618673533,1.5618465469582463,0.054473077957777775,0.054473077957777775
CPT,93.77651484101524,4.984099137778895,5.686838743251537,0.4165651079954056,0.13967523201169096,6.449957374149572,0.05451995238955616,58.85974704526951,-0.00024531890414482326,Normal,medium,1.8601217612258545,0.5885974704526951,0.04984099137778895,0.04984099137778895
CTAS,97.27605966889534,4.657814833789875,2.9825563657101246,0.12452398944616512,0.044969264764965884,8.484220101783448,0.008544038785254265,40.712889839366014,-0.00015281120786254528,Normal,medium,2.446788641054863,0.4071288983936601,0.046578148337898743,0.046578148337898743
CUZ,100.66158940768656,5.692933867915421,7.01040071528607,0.6142773290355722,0.28200012437810945,9.954943511671642,0.024982282049914446,110.25809456122107,-0.00039328381363179087,Normal,medium,2.870934795949108,1.1025809456122106,0.056929338679154215,0.056929338679154215
CWK,103.59823672740471,7.586658887806302,4.689112906751696,0.2900140093586403,0.5131952171520983,5.462082462891699,0.1094813123665006,16.9646521192054,-0.0010067596819570697,High Volatility,high,1.575225673824639,0.169646521192054,0.07586658887806302,0.07586658887806302
DHC,81.29041430076006,10.418107557079423,3.5342315360957897,0.1605966579536459,0.6168253723110866,13.2701013053861,0.03397307347420545,65.16693916448976,-0.002193052220393404,High Volatility,medium,3.8270026885371307,0.6516693916448977,0.10418107557079424,0.10418107557079424
DOC,93.58296291585123,5.2461643129969,3.3681418640102607,0.17511557348429885,0.08450307823856346,6.375392047883711,0.03620265190026425,25.651542385619365,-0.0002425931641748126,Low Volatility,high,1.8386176522877202,0.25651542385619364,0.052461643129968996,0.052461643129968996
ENTERP,97.52812386940971,5.5140061019962054,7.9381814809165405,0.7793511481110774,0.2253127465857357,5.6919544764795145,0.0032804296862385877,14.398019718343777,-0.00028970086028826613,Normal,high,1.6415191250783194,0.14398019718343777,0.05514006101996205,0.05514006101996205
EPR,93.19656092932568,5.964644235449114,3.7568935428944155,0.19198556477975545,0.18576518731303135,10.001064184480487,0.07711063305819228,130.0615426169916,-0.0005178258068999733,Low Volatility,medium,2.884235669452233,1.300615426169916,0.05964644235449114,0.05964644235449114
